Jan 2, DJ, 19
Jan 3, DJ, 19
Jan 5, DJ, 26
Jan 6, DJ, 19
Jan 7, DJ, 8
Jan 8, DJ, 23
Jan 9, Queue, 5
Jan 9, DJ, 11
Jan 9, Album, 14, With Heaven On Top
Jan 9, Queue, 1
Jan 10, Album, 3, With Heaven On Top
Jan 11, Album, 5, With Heaven On Top
Jan 12, Liked, 2
Jan 12, Album, 22, With Heaven On Top
Jan 13, Album, 2, With Heaven On Top
Jan 13, Liked, 19
Jan 14, DJ, 1
Jan 14, Liked, 16
Jan 15, Liked, 25
Jan 16, Liked, 14
Jan 18, Liked, 1
Jan 19, Liked, 21
Jan 20, Liked, 12
Jan 21, Liked, 18
Jan 22, Liked, 14
Jan 23, Liked, 7
Jan 26, Liked, 19
Jan 27, Liked, 19
Jan 28, Liked, 32
Jan 29, Queue, 7
Jan 30, Liked, 25
Feb 1, Album, 2, SOS
Feb 1, Liked, 3
Feb 2, Liked, 53
Feb 3, Liked, 43
Feb 4, Liked, 8
Feb 5, Liked, 22
Feb 6, Liked, 16
Feb 7, Liked, 33
Feb 7, Queue, 3
Feb 8, Liked, 39
Feb 10, Liked, 27
Feb 11, Liked, 35
Feb 12, Liked, 25
Feb 13, Album, 25, With Heaven On Top
Feb 13, Liked, 9
Feb 14, Liked, 1
Feb 16, Liked, 63
Feb 17, Album, 12, LUX
Feb 17, Liked, 8
Feb 18, Mix, 50, Ryan Beatty Mix
Feb 18, Liked, 41
Feb 19, Liked, 9
Feb 19, Daylist, 26
Feb 19, DJ, 9
Feb 20, DJ, 34
Feb 21, DJ, 11
Feb 22, Album, 5, LUX
Feb 22, DJ, 2
Feb 23, DJ, 9
Feb 24, DJ, 61
Feb 25, DJ, 17
Feb 26, DJ, 18
Feb 27, DJ, 52
Feb 27, Album, 15, LUX
Feb 27, Album, 25, With Heaven On Top
Feb 28, Album, 20, With Heaven On Top
