artist,date,ms_played,track,uri,h
Ariana Grande,183,119486629,74,708,33.2
Lorde,95,76632885,50,446,21.3
Ethel Cain,81,68684207,23,200,19.1
Sabrina Carpenter,169,53071262,45,343,14.7
"Tyler, The Creator",87,51736918,51,260,14.4
Taylor Swift,93,51478022,122,282,14.3
Ryan Beatty,45,47597959,39,236,13.2
Lucy Dacus,98,40820437,30,226,11.3
Addison Rae,98,39260875,12,253,10.9
grentperez,50,36447208,33,207,10.1
ROLE MODEL,109,33472986,23,174,9.3
Clairo,97,31840992,31,175,8.8
Gracie Abrams,98,25973958,28,159,7.2
Cynthia Erivo,50,24688486,16,96,6.9
Chappell Roan,87,24259446,17,124,6.7
Kali Uchis,73,21891155,18,111,6.1
Lana Del Rey,70,18610990,20,83,5.2
Frank Ocean,54,18471245,25,94,5.1
SZA,77,18212293,27,107,5.1
beabadoobee,45,17887108,31,108,5.0
Olivia Rodrigo,61,17172787,23,98,4.8
Audrey Hobert,54,14379886,12,92,4.0
boygenius,42,14073867,17,77,3.9
Phoebe Bridgers,38,13761472,23,70,3.8
Kendrick Lamar,37,11481947,18,61,3.2
PinkPantheress,49,10534000,17,77,2.9
Kacey Musgraves,35,9943165,10,59,2.8
Conan Gray,38,9009065,22,54,2.5
Charli xcx,37,8972207,10,50,2.5
Sheryl Crow,30,8274545,2,42,2.3
Wicked Movie Cast,27,8099631,4,41,2.2
Mariah Carey,28,7634441,2,38,2.1
Iron & Wine,28,7370445,5,30,2.0
Mac Miller,32,7172740,8,38,2.0
Gigi Perez,32,6210003,6,36,1.7
Zach Bryan,16,5997252,7,32,1.7
Jeff Buckley,21,5989259,4,27,1.7
Noah Kahan,25,5694218,12,29,1.6
Tate McRae,35,5623004,11,43,1.6
Lil Yachty,25,5507875,1,30,1.5
The 1975,11,5454982,18,26,1.5
Malcolm Todd,16,4775266,20,31,1.3
Jeff Goldblum,17,4674514,1,23,1.3
Jonathan Bailey,9,4474852,1,11,1.2
Omar Apollo,16,4359301,7,23,1.2
Ravyn Lenae,23,3775627,4,24,1.0
Ryan Harris,5,3659897,21,23,1.0
Doechii,23,3328181,9,27,0.9
Maisie Peters,18,3267762,4,22,0.9
Billy Joel,12,2969615,4,16,0.8
